Falukorv,"25,00
/st","GARANT, 800g"
San Marzano-tomater,"15,00
/st",250g
Gammaldags gräddglass,"35,00
/st","TRIUMF GLASS, 2l"
Frysta räkor 70/90,2 för 69 kr,"KALURI, 500g"
Norrlandsost,"79,00
/kg","NORRMEJERIER, ca 1kg"
Maskindisktabletter,"25,00
/st","SÅKLART, 30-pack"
Vegokebab,"30,00
/st","GARANT, 275g"
Havredryck Barista,2 för 28 kr,"GARANT, 1l"
Kaffe,2 för 99 kr,"ZOÉGAS, 450g"
Kokosmjölk,2 för 20 kr,"GARANT, 250ml"
Rågbröd,"10,00
/st","GARANT, 300-340g"
Rapsolja,"30,00
/st","GARANT EKO, 500ml"
Bullar,"5,00
/st","BONJOUR, 90-100g"
Laxfilé,"79,00
/st","POSEIDON, 4x125g"
Svensk nötfärs,"39,95
/st","GARANT, 500g"
Fikabröd,"27,95
/st","FINDUS, 400-480g"
Granola,"38,95
/st","AXA, 475g"
Marmelad,"20,00
/st","GARANT, 400g"
Kycklingfilé,"99,00
/st","KRONFÅGEL, 1kg"
Lönnebergaskinka,"169,50
/kg","ATRIA,"
Kryddkorvar,"27,95
/st","SCAN, 240-300g"
Grillad rostbiff,"249,50
/kg","JAKOBSDALS,"
Ferrari,"10,00
/st","TOMS, 120-130g"
Snacks,"17,95
/st","OLW, 90-150g"
Skivad ost,"20,00
/st","GARANT, 150g"
Getost,"26,95
/st","GARANT, 180g"
Naturell yoghurt,"12,95
/st","GARANT, 1kg"
Ciabatta,"5,00
/st","DAFGÅRD, 150g"
Vetekaka,"15,00
/st","GARANT, 325g"
Deodorant,"20,00
/st","REXONA, 50ml"
Biscoff,"15,00
/st","LOTUS, 150-250g"
Tandkräm,"20,00
/st","ORAL-B, 75ml"
"Hönökaka, Fullkornsrost","25,00
/st","PÅGEN, 450-550g"
Färska kryddkorvar,"34,95
/st","GARANT, 270-350g"
Svensk fläskkarré,"89,00
/kg","GARANT, ca 0,5-1,5kg"
Färska högrevsburgare,"44,95
/st","GARANT, 300g"
Svensk hel kyckling,"44,95
/kg","GARANT, ca 1,35kg"
Grillade kycklinglår 2-pack,"20,00
/st","GULDFÅGELN, råvikt ca 340g"
Rökta räkor,"79,95
/st","FALKENBERG, 400g"
Fjällröding,"69,95
/st","LERÖY, 280g"
Färsk fjällrödingfilé,"249,00
/kg","LERÖY, ca 150g"
Aubergine,"10,00
/st",
Svensk isbergssallad,"20,00
/kg",ca 600g
Förkokt majs,"20,00
/st","GARANT, 450g"
Gröna druvor,"29,95
/st",500g
Minivattenmelon,"20,00
/kg",ca 1.6kg
Minigurka,3 för 10 kr,
Färska kryddor,"10,00
/st","GARANT,"
Riven ost,2 för 35 kr,"GARANT, 150g"
Iste,2 för 15 kr,"LIPTON, 50-52g"
Pastasås,2 för 35 kr,"BARILLA, 400g"
"Kylda såser, dressingar",2 för 30 kr,"GARANT, 200-220ml, 200-220g"
Gräddfil,2 för 18 kr,"GARANT, 3dl"
"Feta, Halloumi, Grillost",2 för 45 kr,"ZETA, 150-200g"
Färskost,2 för 25 kr,"ELDORADO, 200g"
GULASCH FELIX,"39,95
/st","FELIX, 560g"
COUSCOUS,"27,95
/st","GARANT, 1000g"
BREGOTT EKO,"59,95
/st","BREGOTT, 600g"
SKALADE RÄKOR,"49,95
/st","GARANT, 505/200g"
EKO KÖTTBULLAR,"41,95
/st","SCAN, 400g"
GRILLKORV,"25,95
/st","GARANT, 400g"
EKO KAVIAR,"21,95
/st","GARANT, 190g"
VISPGRÄDDE 5DL,"28,95
/st","GARANT, 5dl"
OMEGA LAX,"99,00
/st","OMEGA, 4x125g"
FRIA TOAST,"31,50
/st","FRIA, 500g"
FRIA FORMBRÖD,"31,50
/st","FRIA, 500g"
FRIA GROVA FORMBRÖD,"31,50
/st","FRIA, 500g"
TRIUMF GLASS 2L,"40,95
/st","TRIUMF GLASS, 2l"
EKO TORSKFILÉ,"54,95
/st","GARANT, 400g"
GAR HÅRDOST,"94,95
/kg","GARANT, ca 700g"
EKO BANAN,"24,95
/kg",ca 170g
VEG FÄRS,"74,95
/st","ANAMMA, 850g"
TURKISK YOGHURT,"29,95
/st","SALAKIS, 1kg"
SMÖR & RAPS,"47,95
/st","GARANT, 600g"
TANDKRÄM,"26,50
/st","ZENDIUM, 75ml"
"ÖL 2,8%","26,95
/st","EMD BRÄU, 6p/50cl"
EKO TOFU,"29,95
/st","YIPIN, 400g"
HANDDISK,"16,95
/st","SÅKLART, 500ml"
EKO KNÄCKEBRÖD,"14,95
/st","GARANT EKO, 200g"
SOJA TAMARI,"44,95
/st","GARANT EKO, 250ml"
EKO RAPSOLJA,"44,95
/st","GARANT EKO, 1l"
EKO MAJS,"29,95
/st","GARANT EKO, 3p/150g"
FISKBULLAR,"21,95
/st","ABBA, 375g"
O´BOY,"29,95
/st","O'BOY, 700g"
EKO PESTO,"31,95
/st","GARANT EKO, 190g"
START NATURELL,"31,95
/st","START!, 750g"
EKO KOKOSOLJA,"69,95
/st","GARANT EKO, 500ml"
GAR PARMIGIANO,"64,95
/st","GARANT, 200g"
EKO YOGHURT,"17,95
/st","GARANT EKO, 1kg"
GAR MJÖLK,"16,95
/st","GARANT, 1l"
