Nötfärs,49 90 /st ,GARANT 500G
Läsk,9 90 /st +pant ,"TROCADERO • CUBA COLA 1,5L"
Skivat bacon,2 FÖR 25 00 ,SCAN 140G
Cashewnötter,49 90 /st ,ELDORADO 400G
Grekiskt lantbröd,24 90 /st ,DAFGÅRD 560G
Färsk fläskfilé,79 90 /kg ,DANISH CROWN CA 500G
Pizzasallad,11 90 /st ,GARANT 200G
Pizzadeg,2 FÖR 30 00 ,GARANT 300G
Energidryck,119 00 /st +pant ,POWERKING 25CL
Naturgodis,119 00 /kg ,PICK & MIX I LÖSVIKT
Äpple Aroma,19 90 /kg ,SVERIGE I LÖSVIKT
Spetspaprika,19 90 /st ,"SPANIEN, NEDERLÄNDERNA STYCK"
Brysselkål i nät,12 90 /st ,NEDERLÄNDERNA 500G
Citroner,3 FÖR 12 00 ,SPANIEN STYCK
Apelsiner,19 90 /kg ,SPANIEN I LÖSVIKT
Veganska måltidsdelar,69 90 /st ,HÄLSANS KÖK 700G • 720G
Enportionsrätter,2 FÖR 55 00 ,DAFGÅRDS 390-420G
Kycklingfilé,89 90 /st ,KRONFÅGEL 1KG
Chicken nuggets,19 90 /st ,CHICK´N 400G
"Salame milano, salame ventricina",23 90 /st ,GARANT 80G
Skivat smörgåspålägg,26 90 /st ,JAKOBSDALS 80-120G
Dessertost,28 90 /st ,CASTELLO 150G
Norvegia,59 90 /st ,TINE 500G
Västerbottensost,36 90 /st ,VÄSTERBOTTENS 150G
Färskost,21 90 /st ,PHILADELPHIA 145G • 200G
Kryddor i påse,2 FÖR 14 00 ,KOCKENS 10-70G
Kryddor i påse,16 90 /st ,KOCKENS 20-85G
Nutella,44 90 /st ,NUTELLA 630G
Kakao,29 90 /st ,GARANT 250G
Hela hasselnötter,32 90 /st ,GARANT 200G
Bakchoklad,22 90 /st ,GARANT 200G
Sötmandel,27 90 /st ,GARANT 200G
Kryddmix,2 FÖR 25 00 ,KNORR 38-50G
Buljong 10-pack,2 FÖR 28 00 ,KNORR 100G/5L
Jasminris,34 90 /st ,GARANT 1KG
Tortillabröd 8-pack,2 FÖR 28 00 ,SANTA MARIA 200G • 320G
Taco kryddmix 3-pack,26 90 /st ,SANTA MARIA 84G
Makrillfiléer i tomatsås,29 90 /st ,ELDORADO 3P/125G
Levain,32 90 /st ,PÅGEN 650G
Lätta,21 90 /st ,LÄTTA 600G
Juice NFC,23 90 /st +pant ,GARANT 1L
Smör- & rapsolja,23 90 /st ,ARLA KÖKET 5DL
Yoghurtbägare,2 FÖR 18 00 ,BÄRRY 250G
Vispgrädde,24 90 /st ,GARANT 5DL
Våtservetter,2 FÖR 45 00 ,LIBERO 64P
Fruktklämmisar,6 FÖR 60 00 ,NESTLÉ 90G
Duschkräm,14 90 /st ,FAMILY FRESH 500ML
Toalettpapper 6-pack,29 90 /st ,FIXA 6P
Hushållspapper 4-pack,29 90 /st ,FIXA 4P
Sköljmedel,2 FÖR 58 00 ,COMFORT 762ML
"Alkoholfri öl, cider",3 FÖR 30 00 ,MARIESTADS 33CL
God jul glögg,24 90 /st ,SATURNUS 75CL
Energidryck,2 FÖR 35 00 +pant ,"CELSIUS 35,5CL"
Julmust 4-pack,39 90 /st +pant ,"APOTEKARNES 4P/1,4L"
Russin,38 90 /st ,GARANT 500G
Russin,39 90 /st ,SALTÅ KVARN 500G
Dadlar,2 FÖR 25 00 ,LYNA 200G
Valnötter,49 90 /st ,ELDORADO 400G
Russin,2 FÖR 22 00 ,ELDORADO 250G
Chips,29 90 /st ,PRINGLES 200G
