Personliga:,,
Snacktomater,"50 %
rabatt",Marocko/Nederländerna/Coop. Klass 1. 350 g.
Pizza,"50 %
rabatt",Coop. Fryst. 340-370 g. Välj mellan olika sorter.
Kryddmix,"Vid köp av 2
50 %
rabatt",Santa Maria. 8-65 g. Välj mellan olika sorter.
Ekologiskt bregott,"50 %
rabatt",Bregott. Kravmärkt. 300 g.
,,
Tex mex 185-320 g.,3 för 33:-," Santa Maria. Välj mellan tortilla 320 g, nacho-/tortillachips 185 g och tacosås 230 g. Gäller ej Salsa. Jfr-pris 59:46/kg Max 2 köp/hushåll"
Läsk 140-150 cl.,2 för 29:-, Pepsi/Pommac/Zingo/7up. Välj mellan olika sorter. Jfr-pris 9:67/lit Pant tillkommer.
Färskost 150-200 g.,2 för 35:-, Philadelphia. Välj mellan olika sorter. Jfr-pris 87:50/kg
Nötfärs 500 g.,49 90 /st, Sverige. Kyld. Jfr-pris 99:80/kg Max 3 köp/hushåll
Snacks 225-275 g.,2 för 45:-, OLW. Välj mellan olika sorter. Jfr-pris 100:00/kg
Bregott 600 g.,49 90 /st, Bregott. Välj mellan olika sorter. Välj mellan olika sorter. Jfr-pris 83:17/kg
Panerad fisk - Fish & Crisp 480 g.,54 90 /st, Findus. Fryst. Jfr-pris 114:38/kg
Lösviktsgodis,69 90 /kg, Jfr-pris 69:90/kg
Snackpaprika 200 g.,19 90 /st, Spanien. Klass 1. Jfr-pris 99:50/kg
Tulpaner 9-pack,79 90 /st, Sverige/Spira. Odlade i Sverige. Välj mellan olika färger. Jfr-pris 79:90/st
Ekologiska färska kryddor 35 g.,17 90 /st, Sverige/Änglamark. Välj mellan olika sorter. Jfr-pris 511:43/kg
Ätmogen avokado Ca 170 g.,2 för 25:-, Klass 1. Jfr-pris
Salami 150 g.,24 90 /st, Göl. Kyld. Välj mellan olika sorter. Jfr-pris 166:00/kg
Kylda såser 230 ml.,17 90 /st, Lohmanders. Kylda. Välj mellan olika sorter. Jfr-pris 77:83/lit
Tortellini/Gnocchi/Ravioli 250-400 g.,34 90 /st, Rana. Kyld. Välj mellan olika sorter. Jfr-pris 139:60/kg
Smörgåspålägg tunna skivor 140-200 g.,2 för 45:-, Sverige/Coop. Kylda. Välj mellan olika sorters tunna skivor. Gäller ej kalkon. Jfr-pris 112:50/kg
Juice 1 liter.,2 för 40:-," God Morgon. Kyld. Välj mellan apelsin, apelsin/rödgrapefrukt, tropical eller äppel. Jfr-pris 20:00/lit"
Vispgrädde 3 dl.,16 90 /st, Arla Ko. 40%. Välj mellan olika sorter. Gäller ej ekologisk eller laktosfri. Jfr-pris 56:33/lit
Yoghurt 1 kg.,2 för 34:-, Arla Ko. Välj mellan olika sorter. Gäller ej laktosfri. Jfr-pris 17:00/kg
Crème Fraiche 2 dl.,12 90 /st, Naturell. Gäller ej ekologisk eller laktosfri. Välj mellan olika sorter. Jfr-pris 64:50/lit
Chokladdryckspulver 700 g.,32 90 /st, O'boy. Jfr-pris 47:00/kg
Kladdkaka 400 g.,29 90 /st, Frödinge. Fryst. Gäller ej vegansk kladdkaka. Jfr-pris 74:75/kg
Gräddglass 500 ml.,2 för 35:-, Sia Glass. Välj mellan olika sorter. Jfr-pris 35:00/lit
Piroger/Pan Pizza 1400-1530 g.,99:-, Gorbys/Billys. Fryst. Välj mellan piroger 10-pack och pan pizza original 9-pack. Jfr-pris 64:71/kg
LED lampa,25% rabatt," Philips. Välj mellan 25,40,60 W Klot och kron 2-pack. Jfr-pris 52:00/st"
Gravljus,2 för 35:-, Coop. Brinntid ca 110 timmar. Jfr-pris 17:50/st
Lego Minifigures 1 st.,KÖP 3 BETALA FÖR 2, Lego. Välj mellan olika sorter. Ord. pris 49:9 /st
Gravlykta,99:-, Form Living. I metall/glas. Mått: 14x14x84 cm. Ord. pris 149 /st
