Krossade tomater,"6,00
/st","GARANT, 390g"
Ägg 15-pack,"35,00
/st","GARANT, 15st"
Toalettpapper 18-pack,"79,00
/st","FIXA, 18p"
Bacon,"10,00
/st","GARANT, 140g"
"Jollekaka, Himla go","20,00
/st","PÅGEN, 400g"
"Svensk kycklingbröstfilé, lårfilé","99,00
/kg","KRONFÅGEL, ca 925g"
Smör,"49,95
/st","VALIO, 500g"
"Gul, röd lök","10,00
/st",1kg
Cocktailtomater,"25,00
/st",500g
Avokado,"20,00
/st","GARANT, 250g"
"Filmjölk, yoghurt","22,00
/st","VERUM, 1kg"
Juice,"39,00
/st","BRÄMHULTS, 850ml"
Köttbullar,"20,00
/st","GARANT, 350g"
Ekologisk sylt,"25,00
/st","GARANT EKO, 400g"
Pasta,"12,00
/st","BARILLA, 500g"
Ekologisk tofu,"20,00
/st","GARANT EKO, 400g"
"Kokosmjölk, kokosgrädde","2 för
22
kr","GARANT, 250ml"
Ekologisk majs,"18,00
/st","GARANT EKO, 450g"
Fish & Crisp,"49,00
/st","FINDUS, 480-490g"
Pajer,"30,00
/st","FELIX, 210-220g"
Vitlöksbaguetter 2-pack,"20,00
/st","GARANT, 2x175g"
Makrillfiléer,"35,00
/st","ELDORADO, 3x125g"
Babyvåtservetter,"10,00
/st","MINSTINGEN, 63-pack"
Fruktklämmis,"6,00
/st","MINSTINGEN, 90g"
Rostbiff,"20,00
/st","GARANT, 100g"
"Grevé, Herrgård, Präst","99,00
/kg","ARLA, ca 670g"
Kaffebönor,"149,00
/st","LAVAZZA, 1kg"
Rostbröd,"12,00
/st","GARANT, 450g"
Bearnaisesås,"10,00
/st","GARANT, 200-220ml"
Pulled pork,"39,00
/st","GARANT, 550g"
Färsk pasta,"15,00
/st","GARANT, 200-250g"
"Tutti Frutti, Tyrkisk peber","13,00
/st","FAZER, 140-180g"
"Grekiskt lantbröd, Mörkt surdegsbröd","5,00
/st","DAFGÅRDS, 110g"
Laxbitar,"59,00
/st","KALURI, 400g"
Prosciutto Crudo,"279,50
/kg",NEGRONI
"Rökt, kokt skinka","199,50
/kg",JAKOBSDALS
Muffins,"8,00
/st","AUNT MABELS, 95g"
Morötter,"5,00
/kg",ca: 150g
Röd spetspaprika,"20,00
/st",200g
Blodapelsiner i nät,"22,00
/st",1kg
Svenska äpplen,"22,00
/kg",ca: 140g
Lime,"3 för
10
kr",75g
Blåbär,"25,00
/st",125g
Tulpaner 12-pack,"99,00
/st",
Kokta havskräftor,"119,00
/st","LERÖY, 400g"
Smörgåspålägg,"26,95
/st","JAKOBSDALS, 80-100g"
Röda hjärtan,"39,95
/st","AROMA, 385g"
"Fruktkusar, Frökusar, Havrefralla","28,95
/st","FAZER, 420-480g"
Soppa,"42,95
/st","FELIX, 470-475g"
Läsk,"5,00
/st","SPENDRUPS, TROCADERO, CHAMPIS,, 33cl"
Nescafé Gold,"59,95
/st","NESCAFÉ, 150g"
Färskost,"15,00
/st","ELDORADO, 200g"
Tamponger,"25,00
/st","O.B., 16-pack"
"Duschkräm, schampo, balsam","2 för
32
kr","BARNÄNGEN, 250ml"
Ansiktskräm Q10,"89,00
/st","NIVEA, 50ml"
Comté,"299,50
/kg","FALBYGDENS, ca 180g"
Proteinbar,"15,00
/st","NICK´S, 50g"
Yakisoba nudlar,"2 för
25
kr","MRS CHENG'S, 93g"
Kycklingfilé,"89,00
/st","KRONFÅGEL, 1kg"
Pizza Slice,"15,00
/st","DR. OETKER, 140g"
Ekologiskt jasminris,"39,95
/st","GARANT EKO, 1kg"
Kryddmix,"2 för
25
kr","KNORR, 38-50g"
"Flingor, havrekuddar, havreringar","34,95
/st","GARANT, 375-500g"
Svensk gårdskyckling,"49,95
/kg","KRONFÅGEL, ca 1,2kg"
Svensk fläskkarré,"139,00
/kg","GARANT EKO, ca 1kg"
Handskalade räkor,"95,00
/st","FALKENBERG, 540/280g"
Röd caviar,"32,95
/st","GARANT, 75g"
Keso,"29,95
/st","ARLA, 500g"
Svensk nötfärs,"64,95
/st","SMAK AV GOTLAND, 500g"
Laktosfri mjölk,"21,95
/st","VALIO, 1,5l"
