Personliga:,,
Havregryn,"50 %
rabatt",Coop. Nyckelhålsmärkt. 1500 g.
Kycklingnuggets,"50 %
rabatt",Xtra. Fryst. 1000 g.
Salladsmix,"50 %
rabatt","Sverige/Coop. Klass 1. 70 g. Välj mellan mache, ruccola, babyspenat, säsongsmix och bistromix."
Chips,"50 %
rabatt",Coop. 175 g. Välj mellan olika sorter.
,,
Färsk laxfilé hel sida Ca 1 kg.,179:-,Jfr-pris 179:00/kg
Smörgåspålägg 120 g.,2 för 35:-,Jfr-pris 145:83/kg
Färdigrätter 340-400 g.,2 för 59:-,Jfr-pris 73:75/kg
Kaffe 500 g.,2 för 89:-,Jfr-pris 89:00/kg
Chokladkakor 185-200 g.,2 för 38:-,Jfr-pris 95:00/kg
Delikatesspotatis 900 g.,17 90 /st,Jfr-pris 19:89/kg
Färsk blandfärs i rulle 500 g.,39 90 /st,Jfr-pris 79:80/kg
Glass klassikerlåda 18-pack,99:-,
Soppa 470-475 g.,36 90 /st,Jfr-pris 77:68/kg
Kycklingstekkorv 600 g.,30:-,
Korv 300-420 g.,32 90 /st,Jfr-pris 109:67/kg
Zucchini Ca 355 g.,2 för 25:-,Jfr-pris 35:21/kg
Grötklämmis 120 g.,3 för 39:-,Jfr-pris 108:33/kg
Kryddmix 38-50 g.,2 för 25:-,Jfr-pris 250:00/kg
Tomatketchup 1000 g.,34 90 /st,
Marsipanbröd 5-pack 125 g.,2 för 39:-,Jfr-pris 156:00/kg
Tandkräm/Tandborste 50-75 ml.,2 för 49:-,Jfr-pris 326:67/lit
Halloween mugg 1 st.,20:-,
Reflexer,3 för 35:-,Ord. pris 19:9 /st
Kyckling Färdiglagat 480-760 g.,89 90 /st,Jfr-pris 149:83/kg
Hel Kalkon Ca 4 kg.,69 90 /kg,Jfr-pris 69:90/kg
Lakto-ovo-Vegetariska-produker,36 90 /st,Jfr-pris 115:31/kg
