Personliga:,,
Havregryn,50 %,Coop. Nyckelhålsmärkt. 1500 g.
Kycklingnuggets,50 %,Xtra. Fryst. 1000 g.
Salladsmix,50 %,"Sverige/Coop. Klass 1. 70 g. Välj mellan mache, ruccola, babyspenat, säsongsmix och bistromix."
Chips,50 %,Coop. 175 g. Välj mellan olika sorter.
Ekologisk varmkorv,20 %,Sverige/Änglamark. 275 g.
Picadeli-sallad,40 %,Picadeli.
Stycksaker,30 %,Nestlé. 38-42 g. Välj mellan olika sorter.
Smoothie,25 %,Froosh. 250 ml. Välj mellan olika sorter.
Yoghurt,25 %,"Yoggi. Med granola, ananas och mörk choklad. 190 g."
Pesto,10:-,Coop. 190 g. Välj mellan olika sorter. Jfr-pris 52:63/kg.
,,
Portionsrätter 380-420 g.,3 för 69:-,Jfr-pris 58:97/kg
Färsk kycklingfilé Ca 900 g.,119:-,Jfr-pris 119:00/kg
Paprikamix 400 g.,22 90 /förp,Jfr-pris 57:25/kg
Smörgåspålägg 80-120 g.,24 90 /st,Jfr-pris 207:50/kg
Yoghurt 1 kg.,16 90 /st,Jfr-pris 16:90/kg
Fintvättmedel 350-750 ml.,3 för 79:-,Jfr-pris 70:71/lit
Polly/Bridgeblandning 150-200 g.,2 för 39:-,Jfr-pris 97:50/kg
Soppa 500 ml,22 90 /st,Jfr-pris 45:80/lit
Färdiga mackor 130-140 g.,29 90 /st,Jfr-pris 213:57/kg
Strimlad rökt skinka 180 g.,20:-,
Ekologisk gurka Ca 280 g.,14 90 /st,Jfr-pris
Ekologiska bönor/linser 380 g.,2 för 25:-,Jfr-pris 54:35/kg utan sås/spad
Godispåse 70-80 g.,2 för 16:-,Jfr-pris 100:00/kg
Chokladkaka 100 g.,21 90 /st,Jfr-pris 219:00/kg
Glass flerpack 3-10 pack.,2 för 89:-,Jfr-pris 7:42/st
Matlåda 1 st.,3 för 49:-,Ord. pris 19:9 /st
Vattenflaska,29 90 /st,
Pizza Rustica 540-555 g.,54 90 /st,Jfr-pris 101:67/kg
Blutsaft 250 ml.,119:-,
Ekologiska Hallon 225 g.,25:-,Jfr-pris 111:11/kg
