Nektariner i korg,"19 90
/st ",Spanien/Italien. 1 kg. Klass 1.
Kryddiga korvar,2 för 45:- ,Scan. 240-300 g. Välj mellan olika sorter. Jfr-pris 75:-/kg.
Fläskytterfilé,"69 90
/kg ",Sverige/Nybergs Deli. Ca 1000 g. Kyld. I bit. Välj mellan naturell och grillmarinerad. Jfr-pris 69:90/kg.
Mozzarella,2 för 25:- ,Galbani. 125 g. Gäller ej ekologisk eller laktosfri. Jfr-pris 100:-/kg.
Läsk 6-pack,"24 90
/förp ",Pepsi. 6x33 cl. Välj mellan original och pepsi max. Jfr-pris 12:58/lit.
Frukt-/Bärdryck 3-pack,2 för 15:- ,Coop. 3x20 cl. Välj mellan olika sorter. Jfr-pris 12:50/lit.
Bröd,"26 90
/st ",Pågen. 450-750 g. Välj mellan Skärgårdskaka och Hönökaka. Jfr-pris 59:78/kg.
Energidryck,2 för 24:- ,Red Bull. 25 cl. Välj mellan olika sorter. Jfr-pris 48:-/lit.
Sandwich,"32 90
/st ",Italsandwich. 130-140 g. Kyld. Välj mellan olika sorter. Jfr-pris 235:-/kg.
Ekologisk grillkorv,"32 90
/st ",Sverige/Änglamark. 400 g. Jfr-pris 82:25/kg.
Räkost,"26 90
/st ",Fjällbrynt. 250-330 g. Jfr-pris 107:60/kg.
Drickyoghurt,2 för 22:- ,Coop. 330 ml. Välj mellan olika sorter. Jfr-pris 33:33/lit.
Färsk Kycklingfilé,"59 90
/st ",Sverige/Lönneberga. 350 g. Kyld. Välj mellan kycklingbröstfilé och kycklinglårfilé. Jfr-pris 171:14/kg.
Tortellini/gnocchi,2 för 59:- ,Rana. 250-400 g. Kylda. Välj mellan olika sorter. Jfr-pris 118:-/kg.
Grillmarinerad fläskkarré,"69 90
/kg ",Sverige/Dalsjöfors. Ca 800 g. I skivor. Benfri. Jfr-pris 69:90/kg.
Ribs,"49 90
/st ",Sverige/Coop. 500 g. Av fläsk. Välj mellan Chili och BBQ. Jfr-pris 99:80/kg.
Salladsmix,2 för 30:- ,"Sverige/Coop. Sverige. 70 g. Välj mellan mache, ruccola, babyspenat, säsongsmix och bistromix. Jfr-pris 214:29/kg."
Ekologisk grön kiwi,3 för 20:- ,Nya Zeeland. 90 g. Klass 1. Jfr-pris 74:-/kg.
Färskkorv,45:-   /st ,Sverige/Scan. 300 g. Välj mellan olika sorter. Jfr-pris 150:-/kg.
Tonic water,2 för 15:- ,Coop. 50 cl. Välj mellan olika sorter. Jfr-pris 15:-/lit.
Smoothie,25:-   /st ,Bravo. 1 liter. Kyld. Välj mellan olika sorter. Jfr-pris 25:-/lit.
Ekologiska riskakor,9:-   /st ,Änglamark. 100 g. Salta. Jfr-pris 90:-/kg.
Hamburgerfärs av nöt i rulle,"49 90
/st ",Sverige/Coop. 500 g. Noga utvalt från svenska gårdar. Max 23% fetthalt. Jfr-pris 99:80/kg.
Färsk vitkål,"12 90
/kg ",Sverige.. Klass 1. Jfr-pris 12:90/kg.
Kaffe,2 för 89:- ,Gevalia. 425-450 g. Välj mellan olika sorter och rostningar. Gäller ej Ecologico. Jfr-pris 98:89/kg.
Olivolja Classico,"44 90
/st ",Zeta. 500 ml. Jfr-pris 89:80/lit.
Granola,"34 90
/st ",Coop. 450 g. Välj mellan olika sorter. Jfr-pris 77:56/kg.
Toalettpapper/Hushållspapper,3 för 75:- ,Lambi. 568-832 g. Välj mellan toalettpapper 8-pack och hushållspapper 4-pack. Jfr-pris 44:01/kg.
Fruktstänger,2 för 35:- ,Castus. 100 g. Välj mellan olika sorter. Jfr-pris 175:-/kg.
Vätskeersättning,35:-   /st ,Coop. 20 st. Välj mellan citron och hallon. Jfr-pris 1:75/st.
Tamponger,2 för 45:- ,O.B.. 16 st. Välj mellan olika sorter. Jfr-pris 1:41/st.
Matlåda,"29 90
/st ","Coop. Av glas med plastlock. Finns i storlek från 0,25 till 1,6 L. . Ugnssäker upp till 450 grader. Mikrosäker. Tål maskindisk. Frystålig ner till -40 grader."
Gräddglass,3 för 45:- ,Sia Glass. 500 ml. Välj mellan olika sorter. Jfr-pris 30:-/lit.
Piroger/Pan Pizza,"89 90
/förp ",Gorbys/Billys. 1400-1530 g. Fryst. Välj mellan piroger 10-pack och pan pizza original 9-pack. Jfr-pris 58:76/kg.
Såpbubblor,2 för 15:- ,Välj mellan olika varianter. 60 ml. Ord. pris 10:-/st.
