Personliga:,,
Havregryn,"50 %
rabatt",Coop. Nyckelhålsmärkt. 1500 g.
Kycklingnuggets,"50 %
rabatt",Xtra. Fryst. 1000 g.
Salladsmix,"50 %
rabatt","Sverige/Coop. Klass 1. 70 g. Välj mellan mache, ruccola, babyspenat, säsongsmix och bistromix."
Chips,"50 %
rabatt",Coop. 175 g. Välj mellan olika sorter.
,,
Hushållsost 500-2200 g.,79 90 /kg,Jfr-pris 79:90/kg
Röda druvor 500 g.,25:-,
Kycklingfiléer,89 90 /st.,Jfr-pris 89:90/kg
Färsk fläskfilé Ca 590 g.,69 90 /kg,Jfr-pris 69:90/kg
Svenska äpplen,25:-,Jfr-pris 25:00/kg
Tvätt/sköljmedel 700 g/880-928 ml.,3 för 99:-,Jfr-pris 1:50/tvätt/disk
Extra stora räkor 400 g.,49 90 /förp,Jfr-pris 124:75/kg
Mozzarella 125 g.,10:-,
Basturök Skinka 90-120 g.,24 90 /st,
Strimlad rökt skinka 180 g.,20:-,Jfr-pris 111:11/kg
Ekologiska morötter i påse 1 kg.,20:-,Jfr-pris 20:00/kg
Tulpaner 9-pack,79 90 /st,Jfr-pris 79:90/st
Ekologisk barnmat 125-250 g.,3 för 45:-,Jfr-pris 60:00/kg
Toalettpapper/Hushållspapper 568-832 g.,2 för 79:-,Jfr-pris 69:54/kg
Oliver/Ekologiska oliver 370 g.,30:-,Jfr-pris 176:47/kg utan sås/spad
Fond 180 ml.,32 90 /st,Jfr-pris 8:23/lit drickfärdig
Glass/Vegansk glass 500 ml.,59 90 /st,Jfr-pris 119:80/lit
Glasburk med lock,2 för 25:-,Ord. pris 19:9 /st
Burrito 170 g.,28 90 /st,Jfr-pris 170:00/kg
Ullvantar,29:-,Ord. pris 39 /st
Mössa,79:-,Ord. pris 99 /st
