"Coca-Cola, Fanta, Sprite","5,00/st","COCA-COLA ZERO, 33cl"
Crème fraiche,"10,00/st","GARANT, 2dl"
"Babyspenat, Ruccola, Småbladsmix","10,00/st","GARANT EKO, 65g"
Satsumas,"25,00/kg",ca: 100g
Svenskt fläsklägg,"34,95/kg","MOAB, ca 1,5kg"
Lagrad hårdost,"79,00/st","ALLERUM, 670g"
Svensk hel kyckling,"35,00/kg","GARANT, ca 1,35kg"
Granatäpple,"10,00/st",289g
Gul lök,"10,00/kg",ca: 175g
Morötter,"5,00/st",1kg
Torskfilé,"99,00/st","FALKENBERG, 400g"
Mozzarella,"17,00/st","GALBANI, 100-125g"
"Bönor, kikärter",,"GARANT EKO, 380/230g"
Meratoast & Smårgåslimpa,"23,00/st","PÅGEN, 650-680g"
Ris Boil-In-Bag,"20,00/st","GARANT, 500g"
Köttbullar,"39,00/st","GARANT, 600g"
"Tvättmedel, sköljmedel","29,00/st","GRUMME, 750ml"
"Kokosmjölk, kokosgrädde","12,00/st","GARANT EKO, 250ml"
Glass,"49,00/st","BEN & JERRY'S, 0,42-0,46l"
Ojämna laxbitar,"49,00/st","KALURI, 400g"
Rapsolja,"30,00/st","GARANT EKO, 500ml"
Alkoholfri öl,"29,95/st","PRIPPS BLÅ, 6x33cl"
Ekologiskt kaffe,"59,95/st","ARVID NORDQUIST, 450g"
Pavé 4-pack,"17,95/st","GARANT, 300g"
Falafel,"34,95/st","GARANT, 800g"
Schweppes 6-pack,"49,95/st","SCHWEPPES, 6x33cl"
"Vitamin Well, Nobe","16,95/st","VITAMIN WELL, 50cl"
Delikatesskivor,"27,95/st","JAKOBSDALS, 70-110g"
Wienerkorv,"59,95/st","LITHELLS, 750g"
Salame Rustico,"229,50/kg",NEGRONI
Prosciutto Crudo,"269,50/kg",NEGRONI
Rörsocker i bit,"22,95/st","DANSUKKER, 500g"
Makrillfiléer 3-pack,"39,95/st","ELDORADO, 3x125g"
Snabbkaffe,"59,95/st","GEVALIA, 200g"
Mild hårdost,"99,00/kg","ARLA, ca 670g"
Manchego,"299,50/kg",FALBYGDENS
"Tandkräm, tandborste","24,00/st","ZENDIUM, PEPSODENT, 75ml, 1-pack"
"Schampo, balsam","49,95/st","AUSSIE, 200-300ml"
Rengöringsspray,"21,95/st","SÅKLART, 500-750ml"
Färsk fylld pasta,"37,95/st","RANA, 250g"
Fryst vegetariskt,"29,95/st","QUORN, 300-312g"
Frysta pajer,"26,95/st","GARANT, 220g"
Svensk pumpa,"25,00/kg",ca: 2.8kg
Svenska röda äpplen,"25,00/st",1kg
Gurka,"10,00/st",280g
Rödbetor,"5,00/kg",ca: 150g
Fairtradebananer,"25,00/kg",ca: 1kg
Elegansnejlikor,"59,95/st",
Superrosor,"79,95/st",
Färsk sillfilé,"39,95/st","FALKENBERG, 400g"
Manchego,"299,50/kg","FALBYGDENS, ca 150g"
Blomsterhonung,"44,95/st","LUNE DE MIEL, 500g"
Grillade kycklinglår 2-pack,"20,00/st","GULDFÅGELN, råvikt ca 340g"
Lövbiff,"199,00/kg","GARANT EKO, ca 500g"
Högrevsburgare,"49,95/st","GARANT, 300g"
Lammfärs,"79,95/st","SMAK AV GOTLAND, 500g"
Ytterfilé av vildsvin,"249,00/kg","ÅKE P, ca 400g"
Fröknäcke,"28,95/st","SIGDAL, 190-220g"
Margarin,"29,95/st","FLORA, BECEL, 550-600g"
Knäckebröd,"20,00/st","WASA, 470-550g"
Färskost,,"ELDORADO, 200g"
Snabbnudlar,,"BLUE GARDEN, 85g"
Diskduk,,"WETTEX, 4-pack"
