Personliga:,,
Juice,"15:-
 /st",Coop. Kyld. 1 liter. Välj mellan olika sorter. Jfr-pris 15:-/liter. Pant tillkommer.
Bars,"30 %
rabatt",Nestlé. 23-25 g. Välj mellan olika sorter.
Kakor,"25 %
rabatt","Wasa. 230-270 g. Välj mellan Chocolate Chip, Cranberries Oat och Multigrain."
Runda knäckebröd,"25 %
rabatt",Wasa. 290-330 g. Välj mellan Sesam/Havssalt och Kanel.
Snacktomater,"50 %
rabatt",Marocko/Nederländerna/Coop. Klass 1. 350 g.
Pizza,"50 %
rabatt",Coop. Fryst. 340-370 g. Välj mellan olika sorter.
Kryddmix,"Vid köp av 2
50 %
rabatt",Santa Maria. 8-65 g. Välj mellan olika sorter.
Ekologiskt bregott,"50 %
rabatt",Bregott. Kravmärkt. 300 g.
,,
Läsk 140-150 cl.,2 för 22:-, Zingo. Välj mellan olika sorter. Jfr-pris 7:86/lit Max 2 köp/hushåll Pant tillkommer.
Nötfärs 800 g.,69 90 /st, Sverige. Kyld. Fetthalt 12%. Jfr-pris 87:38/kg Max 2 köp/hushåll
Clementiner,25:-, Spanien. Klass 1. Jfr-pris 25:00/kg
Mjukt bröd 500 g.,20:-," Pågen. Välj mellan Lingongrova, Lingongrova special och Guldkorn. Jfr-pris 40:00/kg Max 3 köp/hushåll"
Godispåsar 150-200 g.,22 90 /st, Cloetta. Välj mellan olika sorter. Jfr-pris 114:50/kg
Pan pizza/Piroger 140-170 g.,3 för 35:-, Billys/Gorbys. Frysta. Välj mellan olika sorter. Jfr-pris 68:65/kg
Pizzadeg 550 g.,20:-, Coop. Jfr-pris 36:36/kg
Kaffe 425-450 g.,2 för 89:-, Gevalia. Välj mellan olika sorter. Gäller ej ekologiskt. Jfr-pris 98:89/kg Max 1 köp/hushåll
Wienerpölser/Hot Dog Pölser 375 g.,39 90 /st, Göl. Kyld. Välj mellan olika sorter. Jfr-pris 106:40/kg
Färdigrätter 400 g.,39 90 /st, Pure. Kylda. Välj mellan kyckling med röd curry och kyckling Tikka masala. Jfr-pris 99:75/kg
Färsk gnocchi 500 g.,25:-, Coop. Kyld. Jfr-pris 50:00/kg
Potatisgratäng 800 g.,22 90 /st, Peka. Jfr-pris 28:63/kg
Handdiskmedel 500 ml.,2 för 35:-, Änglamark. Välj mellan olika sorter. Jfr-pris 35:00/lit
Kokosmjölk/Kryddmix 30-40 g/250 ml.,2 för 30:-, Santa Maria. Välj mellan olika sorter. Jfr-pris 468:75/kg
Ekologiska oliver 370 g.,34 90 /st," Zeta. Urkärnade. Välj mellan Halkidiki, Kalamata och Olivmix. Jfr-pris 205:29/kg utan sås/spad"
Chokladkaka/rullar 60-100 g.,2 för 25:-, Marabou. Välj mellan 100 g kaka och rullle 67-78 g. Jfr-pris 168:92/kg
Laddkabel 3A,79:-," Laddkablar 3A. 1,5 m. Finns i uttagen micro usb, usb-c och typ-c. Ord. pris 99 /st"
Lakto-ovo-vegetariska produkter 300-312 g.,2 för 59:-," Quorn. Välj mellan bitar, filéer och färs. Jfr-pris 98:33/kg"
Adventsljusstake,99:-," Star Trading. 7-armad ljusstake. Av trä. Sladdlängd 1,8 m. Välj mellan trekant eller båge i färgerna vit, röd och grå. Ord. pris 129 /st"
Pizza 350 g.,39 90 /st, Grandiosa. Välj mellan olika sorter x-tra allt. Jfr-pris 114:00/kg
