Ost familjefavoriter,"59 90
/kg ",Arla. Ca 375-1200 g. 23-33%. I bit. Välj mellan olika sorter. Jfr-pris 59:90/kg.
Honungsmelon/Galiamelon,"19 90
/kg ",Spanien. Ca 1 kg. Klass 1. Jfr-pris 19:90/kg.
Färsk fläskfilé,"69 90
/kg ",Danmark/Danish Crown. Ca 600 g. Kyld. Märkt med Animal Welfare. Jfr-pris 69:90/kg.
Bacon,2 för 19:- ,Sverige/Coop. 140 g. Jfr-pris 67:86/kg.
Färskost,2 för 25:- ,Philadelphia. 150-200 g. Välj mellan olika sorter. Jfr-pris 62:50/kg.
Färsk kycklingfilé,129:-   /kg ,Sverige/Guldfågeln. Ca 900 g. Välj mellan kycklingbröstfilé och kycklinglårfilé. Jfr-pris 129:-/kg.
Läsk 6-pack,"29 90
/st ","Coca-Cola/Fanta. 6x33 cl. Välj mellan Original, Zero och Fanta. Jfr-pris 15:10/lit."
Smoothie,25:-   /st ,Bravo. 1 liter. Kyld. Välj mellan olika sorter. Jfr-pris 25:-/lit.
Växtbaserad dryck,3 för 44:- ,"Coop. 1 liter. Välj mellan havredryck, kokosdryck, risdryck och sojadryck. Jfr-pris 14:66/lit."
Smör & Raps,"41 90
/st ",Coop. 600 g. Välj mellan normalsaltat och extrasaltat. Jfr-pris 69:83/kg.
Baguetter,2 för 25:- ,Coop. 300 g. Förgräddade. Välj mellan olika sorter. Jfr-pris 41:67/kg.
Kylda såser,"23 90
/st ",Rydbergs. 250 ml. Välj mellan olika sorter. Jfr-pris 95:60/lit.
Ekologiska ägg 12-pack,"38 90
/st ",Sverige/Änglamark. Storlek M/L. Jfr-pris 3:24/st.
Romansallat,"9 90
/st ",Sverige. Ca 250 g. Klass 1.
Smörgåspålägg,"24 90
/st ",Sverige/Brödernas. 90-120 g Välj mellan olika sorter. Jfr-pris 207:50/kg.
Grillskivor av fläskkarré,"69 90
/kg ","Sverige/Coop. Ca 600 g. Kryddad med paprika, vitlök & svartpeppar. Noga utvalt från svenska gårdar. Jfr-pris 69:90/kg."
Flapsteak,139:-   /kg ,Sverige/Dalsjöfors. Ca 650 g. Av nöt. Jfr-pris 139:-/kg.
Ekologiska kvisttomater i ask,30:-   /st ,Nederländerna/Spanien/Änglamark. 500 g. Klass 1. Jfr-pris 60:-/kg.
Alkoholfri öl 6-pack,"24 90
/förp ",Mariestads/Norrlands Guld. 6x33 cl. Jfr-pris 12:58/lit.
Morötter i Knippe,"14 90
/st ",Sverige. Ca 660 g. Klass 1.
Mixers,2 för 25:- ,Fentimans. 200-275 ml. Välj mellan olika sorter. Jfr-pris 62:50/lit.
Salami,"24 90
/st ",Göl. 125-150 g. Välj mellan olika sorter. Jfr-pris 166:-/kg.
Färsk ekologisk Fläskytterfilé,129:-   /kg ,Sverige/Änglamark. Ca 1000 g. Mörad. I bit. Jfr-pris 129:-/kg.
Färsk kalkonfilé,199:-   /kg ,Sverige/Ingelsta Kalkon. Ca 450-480 g. Välj mellan bröstfilé och tunnskivad filé. Jfr-pris 199:-/kg.
Pluma,"79 90
/kg ",Sverige/Dalsjöfors. Ca 600 g. Av fläsk. I bit. Grillmarinerad. Jfr-pris 79:90/kg.
Paraguayos i ask,"24 90
/st ",Spanien. 500 g. Klass 1. Jfr-pris 49:80/kg.
Prästost,99:-   /kg ,Wernersson Ost. Ca 750 g. 31%. Extralagrad. I bit. Jfr-pris 99:-/kg.
Blåbär i ask,"19 90
/st ",Polen. 125 g. Klass 1.
Grillkorv,"29 90
/st ",Sibylla. 420 g. Kylda. Original. Jfr-pris 71:19/kg.
Toalettpapper/Hushållspapper,3 för 75:- ,Lambi. 568-832 g. Välj mellan toalettpapper 8-pack och hushållspapper 4-pack. Jfr-pris 44:01/kg.
Pasta,2 för 28:- ,Barilla. 500 g. Välj mellan olika sorters korta pastaformer. Jfr-pris 28:-/kg.
Smoothie,3 för 30:- ,Semper. 90 g. Välj mellan olika sorter. Jfr-pris 111:11/kg.
Snacks,2 för 40:- ,Pringles. 200 g. Välj mellan olika sorter. Jfr-pris 100:-/kg.
Ekologiska Bönor/Linser/Ärtor,2 för 25:- ,Zeta. 380 g. Välj mellan olika sorter. Jfr-pris 54:35/kg utan sås/spad.
Pastasås,"19 90
/st ",Barilla. 400 g. Välj mellan olika sorter. Jfr-pris 49:75/kg.
Pizza tradizionale,"29 90
/st ",Dr. Oetker. 385-415 g. Fryst. Välj mellan olika sorter. Jfr-pris 77:66/kg.
Glasburk/Flaska,KÖP 3 BETALA FÖR 2 ,"Med patentlock. Välj mellan glasburkar/flaskor från 0,2-1,9L. Ord. pris 34:90/st."
Diskduk 4-pack,2 för 28:- ,Coop. Jfr-pris 3:50/st.
Glass 6-pack,"34 90
/förp ",Sia Glass. Välj mellan olika sorter. Jfr-pris 5:82/st.
Laddkablar 2A,"39 90
/st ","Av silikon. Finns i uttagen lightning (iPhone), micro usb och typ-c. Ord. pris 79:-/st."
Universalduk 3-pack,35:-   /förp ,Coop. Av microfiber. Jfr-pris 11:67/st.
Stekpanna,149:-   /st ,Coop. 28 cm. Keramisk beläggning. Soft touch handtag. Fungerar på alla spishällar inklusive induktion. Ord. pris 249:-/st.
Laddkabel,"19 90
/st ","-. 2A. Sladdlängd 1 meter. Välj mellan olika färger och uttag, Lightning (för iPhone), typ-C, Micro-Usb. Ord. pris 29:90/st."
