Färska hamburgare,"39 90
/st ",Sverige. Ca 440-452 g. Av nöt. Jfr-pris 88:27/kg.
Bregott,"39 90
/st ",Bregott. 600 g. Gäller även laktosfri. Gäller ej ekologisk. Jfr-pris 66:50/kg.
Gurka,"5 90
/st ",280 g. Klass 1. Jfr-pris 21:07/kg.
Fetaost,15:-   /st ,Fontana. 150 g. Jfr-pris 100:-/kg.
Frukt-/Vaniljyoghurt,2 för 35:- ,Yoggi. 1 kg. Välj mellan olika sorter Original och Mini. Gäller ej ekologisk och laktosfri. Jfr-pris 17:50/kg.
Mineral-/Kolsyrat vatten 12-pack,"29 90
/förp ",Ramlösa. 12x33 cl. Välj mellan olika sorter. Jfr-pris 7:55/lit.
Ekologisk soygurt,"23 90
/st ","Planti. 750 g. 100% växtbaserad. Välj mellan jordgubb/citron, mango, naturell och vanilj. Jfr-pris 31:87/kg."
Juice,22:-   /st ,"Bravo. 2 liter. Välj mellan olika apelsin, tropisk och äpple. Jfr-pris 11:-/lit."
Kryddiga korvar,"36 90
/st ",Sverige/Taylors & Jones. 200-270 g. Välj mellan olika sorter. Jfr-pris 136:67/kg.
Smörgåspålägg,"22 90
/st ",Sverige/Lönneberga. 120 g. Välj mellan olika sorter. Jfr-pris 190:83/kg.
Bröd,"23 90
/st ","Fazer. 420-480 g. Välj mellan frökusar, havrefralla och fruktkusar. Jfr-pris 49:79/kg."
Bearnaisesås/Aioli,"19 90
/st ",Lohmanders. 230 ml. Välj mellan olika sorter. Jfr-pris 86:52/lit.
Ost,"34 90
/st ",Arla. 310 g. Naturligt näringsrik ost. Fetthalt 17%. Välj mellan mild & krämig och mild & fyllig. Jfr-pris 112:58/kg.
Grillspjut,109:-   /kg ,Sverige/Scan. Ca 720 g. Av fläsk. Grillkryddat. Jfr-pris 109:-/kg.
Hamburgerost,2 för 42:- ,Coop. 200 g. Välj mellan olika sorter. Jfr-pris 105:-/kg.
Färsk kycklingfilé,139:-   /kg ,Sverige/Guldfågeln. Ca 900 g. Välj mellan kycklingbröstfilé och kycklinglårfilé. Jfr-pris 139:-/kg.
Fruktdryck,2 för 25:- ,Mer. 50 cl. Välj mellan olika sorter. Jfr-pris 25:-/lit.
Ekologisk vattenmelon,"27 90
/kg ",Spanien. Klass 1. Jfr-pris 27:90/kg.
Spareribs,"49 90
/kg ",Sverige/Dalsjöfors. Ca 1350 g. Av fläsk. Välj mellan olika sorters kryddningar. Jfr-pris 49:90/kg.
Grillspett av nöt,"59 90
/förp ",Sverige/Scan. 380 g. Av nöt. Kryddat med Tellicherrypeppar. Jfr-pris 157:63/kg.
Rismellis,3 för 25:- ,Coop. 175 g. Välj mellan hallon och jordgubb. Jfr-pris 47:60/kg.
Körsbär i ask,30:-   /ask ,Turkiet. 500 g. Klass 1. Jfr-pris 60:-/kg.
Stek- & grillbit,"49 90
/kg ",Sverige/Nybergs Deli. Ca 1200 g. Utskuren picnicbog av fläsk. Jfr-pris 49:90/kg.
Broccoli,"14 90
/st ",Sverige. 250 g. Klass 1. Jfr-pris 59:60/kg.
Kassler,89:-   /kg ,Sverige/Coop. Ca 600 g. I bit. Nyckelhålsmärkt. Jfr-pris 89:-/kg.
Tvättmedel/Sköljmedel,3 för 69:- ,"Via/Comfort. 750 g/500-1008 ml. Välj mellan flytande 760 ml, pulver 750 g, sköljmedel 750-1008 ml och fläckspray 500 ml. Jfr-pris 1:15/tvätt/disk."
Ekologisk barnmat,4 för 55:- ,Hipp. 125-250 g. Från 6 månader. Välj mellan olika sorter. Jfr-pris 55:-/kg.
Snacks,2 för 38:- ,Olw. 90-300 g. Välj mellan olika sorter. Gäller ej nötmixer. Jfr-pris 84:44/kg.
Taco kryddmix,3 för 25:- ,Coop. 36 g. Välj mellan olika sorter. Jfr-pris 231:39/kg.
Snabbkaffe,"59 90
/st ",Nescafé. 180 g. Mellanrost. Jfr-pris 332:78/kg.
Ekologiska russin,"24 90
/st ",Änglamark. 6x42 g. Jfr-pris 98:81/kg.
Batterier 10-pack,89:-   /st ,Energizer. Välj mellan Max plus AA och Max plus AAA. Jfr-pris 8:90/st.
Vätskeersättning,"49 90
/st ",Resorb. 10-20 st. Välj mellan olika sorter. Jfr-pris 2:50/st.
Glass flerpack,"32 90
/st ",Triumfglass. Gäller ej Farbror Arnes. Välj mellan olika 4-6 pack. Jfr-pris 5:48/st.
Flergångs plastglas,10:-   /st ,"Tål maskindisk. Välj mellan vinglas, champagneglas och ölglas i olika storlekar. Ord. pris 16:95/st."
Bordstabletter 2-pack,"24 95
/set ",Diameter 38 cm. Välj bland flera färger. Ord. pris 49:90/st.
