Isbergssallad,15:-   /kg ,-. Ca 450 g. Klass 1. Jfr-pris 15:-/kg.
Ekologiska färska kryddor,2 för 35:- ,Sverige/Änglamark. 35 g. Välj mellan olika sorter. Jfr-pris 500:-/kg.
Broccoli,"14 90
/st ",Sverige. Ca 250 g. Klass 1. Jfr-pris 59:60/kg.
Elegance/rosor 10-pack,"49 90
/st ",
Salladsmix,25:-   /st ,Coop. 200-250 g. Välj mellan olika sorter. Klass 1. Jfr-pris 125:-/kg.
Persika,"24 90
/kg ",-. Klass 1. Lösvikt. Jfr-pris 24:90/kg.
Färska hamburgare,"39 90
/st ",Sverige. Ca 440-452 g. Av nöt. Jfr-pris 88:27/kg.
Flintastek,"49 90
/kg ","Sverige/Dalsjöfors. Ca 900 g. Av fläsk. Välj mellan original, äpple/chili eller naturell. Jfr-pris 49:90/kg."
Färsk majskycklingfilé,169:-   /kg ,"Sverige/Guldfågeln. Ca 600-1060 g. Välj mellan bröstfilé, lårfilé och bbq. Jfr-pris 169:-/kg."
Smörgåspålägg,2 för 46:- ,Coop. 110-160 g. Välj mellan olika sorter. Jfr-pris 191:67/kg.
Leverpastej,2 för 25:- ,Pastejköket. 150-200 g. Välj mellan olika sorter. Gäller även vegetarisk. Jfr-pris 62:50/kg.
Dressing/Såser,20:-   /st ,Eriks Såser. 170-255 ml. Kylda. Välj mellan olika sorter. Jfr-pris 86:96/lit.
Gratäng,"22 90
/st ",Peka. 800 g. Kyld. Kyld. Välj mellan potatisgratäng och rotfruktsgratäng. Jfr-pris 28:63/kg.
Grillspett av nöt,"59 90
/förp ",Sverige/Scan. 380 g. Av nöt. Kryddat med Tellicherrypeppar. Jfr-pris 157:63/kg.
Grillkorv,"37 90
/st ",Sverige/Scan. 270-640 g. Välj mellan olika sorter. Jfr-pris 78:96/kg.
Matjessill,"22 90
/st ",Abba. 215 g. Välj mellan olika sorter. Jfr-pris 183:20/kg utan sås/spad.
Ekologiskt Bacon,"22 90
/st ",Änglamark. 120 g. Välj mellan tärnat och skivat. Jfr-pris 190:83/kg.
Lammracks,349:-   /kg ,Nya Zeeland/Naturkött. Ca 900 g. Kylda. Jfr-pris 349:-/kg.
Polarpärlan vete,"22 90
/st ",Polarbröd. 600 g. Välj mellan Polarpärlan fullkorn och vete. Jfr-pris 38:17/kg.
Juice,20:-   /st ,Innocent. 750-900 ml. Välj mellan olika sorter. Gäller ej Supersmoothie. Jfr-pris 22:22/lit.
Yoghurt,2 för 35:- ,Arla. 1 kg. Välj mellan olika sorter. Gäller ej laktosfri. Jfr-pris 17:50/kg.
Dessertost,25:-   /st ,Galbani/President. 150-250 g. Välj mellan olika sorter. Jfr-pris 125:-/kg.
Yoghurt av turkisk karaktär,2 för 32:- ,Coop. 500 g. 10%. Jfr-pris 32:-/kg.
Crème fraiche,2 för 22:- ,Coop. 2 dl. Naturell. Välj mellan 15% och 34%. Gäller ej laktosfri. Jfr-pris 55:-/lit.
Kakor,"16 90
/st ",Oreo. 154-157 g. Välj mellan olika sorter. Jfr-pris 109:74/kg.
Smör,"42 90
/st ",Coop. 500 g. Normalsaltat. Jfr-pris 85:80/kg.
Hushållsost,"69 90
/kg ",Arla. Ca 1100-2200 g. I bit. 17-26%. Jfr-pris 69:90/kg.
Ekologisk Mozzarella,"16 90
/st ",Änglamark. 125 g. Jfr-pris 135:20/kg.
Kolsyrat vatten 12-pack,"29 90
/förp ",Loka. 12x33 cl. Välj mellan olika sorter. Jfr-pris 7:55/lit.
Snacks,2 för 35:- ,Estrella. 90-275 g. Välj mellan olika sorter. Gäller ej nötmixer. Jfr-pris 63:64/kg.
Kycklingfilé,"79 90
/st ",Sverige/Kronfågel. 700 g. Fryst. Välj mellan inner- och lårfilé. Jfr-pris 114:14/kg.
Cornflakes,"26 90
/st ","Kellogg's. 300-375 g. Välj mellan Cornflakes, All Bran Regular och Special K. Jfr-pris 71:73/kg."
