Personliga:,,
Matpaj,"50 %
rabatt",Coop. Fryst. 220 g. Välj mellan olika sorter.
Senap i tub,"50 %
rabatt","Slotts. 220 g. Välj mellan stark, skånsk eller original."
Ramlösa,"Vid köp av 2
50 %
rabatt",Ramlösa. 150 cl. Välj mellan olika sorter. Pant tillkommer.
,,
Kiwi/Persimon/Citron,3 för 15:-,
Mjöl,18 90 /st,
Smör,39 90 /st, Max 2 köp/hushåll
Tvätt/sköljmedel,3 för 99:-,
Ädelost på tub,29 90 /st,
Aladdin/Paradis,54 90 /st,
Färska hamburgare,44 90 /st,
Salami,24 90 /st,
Smörgåspålägg,26 90 /st,
Bacon/Ekologiskt bacon,2 för 30:-,
Kalkonbacon 100 g.,14 90 /st, Ingelsta Kalkon. Kyld. Jfr-pris 149:00/kg
Kaffekapslar 10-pack,4 för 155:-,
Ekologiska kryddor,22 90 /st,
Sirap,19 90 /st,
Snacks,2 för 45:-,
Glass,59 90 /st,
Handtvål/Duschgel/Hudkräm,27 90 /st,
Kycklingdetaljer,36 90 /st,
Julinslagningspapper,3 för 30:-,
Julmugg,29 90 /st,
Fish & Crisp/Fish nuggets,64 90 /st,
Vegofärs 300 g.,29 90 /st, Quorn. Fryst. Jfr-pris 99:67/kg
