Nötfärs,49 90 /st ,GARANT 500G
Vispgrädde,19 90 /st ,SKÅNEMEJERIER 5DL
Skivat smörgåspålägg,9 90 /st ,PRIME PATROL 100G
Juice,23 90 /st +pant ,INNOCENT 750ML • 900ML
Brioche hamburgerbröd 4-pack,2 FÖR 35 00 ,GARANT 200G • 250G
Fast potatis,24 90 /st ,SVERIGE 2KG
Glass 6-pack,38 90 /st ,MAGNUM 6P
"Ekologiska krossade, passerade tomater",2 FÖR 22 00 ,GARANT EKO 390G
Donuts,4 FÖR 24 00 ,LA LORRAINE 50G • 56G
Smaksatt créme fraiche,12 90 /st ,ARLA KÖKET 2DL
"Kylda såser, dressingar, röror",2 FÖR 30 00 ,GARANT 220G • 200-250ML
Lösviktsgodis,59 90 /kg ,SMÅTT & GOTT I LÖSVIKT
Färska hamburgare 4-pack,44 90 /st ,GARANT 452G
Satsumas,24 90 /kg ,SPANIEN I LÖSVIKT
Persimon,4 FÖR 20 00 ,SPANIEN STYCK
Päron Lukas,22 90 /kg ,SVERIGE I LÖSVIKT
Brysselkål nät,12 90 /st ,NEDERLÄNDERNA 500G
Kycklingnuggets,52 90 /st ,KRONFÅGEL 440G
Hot dog pölser,39 90 /st ,GØL 375G
"Präst®, Herrård®",99 90 /kg ,NORRMEJERIER CA 750G
Parmigiano,39 90 /st ,GARANT 150G
Skivad ost,45 90 /st ,ARLA 300G
Mjukost,44 90 /st ,KAVLI 330G
Flingor,31 90 /st ,NESTLÉ 325-375G
"Amerikansk dressing, gurkmajonäs",21 90 /st ,KAVLI 230G • 240G
Majonnäs,15 90 /st ,GARANT 350G
Krossade tomater,12 90 /st ,GARANT 390G
Proteinbars,2 FÖR 40 00 ,BAREBELLS 55G
Gulaschsoppa,2 FÖR 80 00 ,FELIX 560G
Korta pastaformer,12 90 /st ,GARANT 500G
Tuc kex,9 90 /st ,LU 100G
Oreo cookies,21 90 /st ,OREO 154G • 157G
Pågenlimpan,29 90 /st ,PÅGEN 900G
"Vetekaka 24-pack, rågkaka 30-pack",24 90 /st ,GARANT 900G
"Fruktdryck, bärdryck",2 FÖR 30 00 ,"KIVIKS 1,5L"
Laktosfri yoghurt,26 90 /st ,VALIO 1KG
Smör,47 90 /st ,SVENSKT SMÖR 500G
Bordsmargarin,29 90 /st ,BECEL • FLORA 550G • 600G
Pastasås,27 90 /st ,KELDA 4DL
Barnmat i glasburk,4 FÖR 55 00 ,HIPP 190-250G
Hippis klämmisar,4 FÖR 45 00 ,HIPP 100G
Klämmisar,4 FÖR 48 00 ,SEMPER 120G
Energidryck,3 FÖR 33 00 +pant ,RED BULL 25CL
Energidryck,3 FÖR 25 00 +pant ,POWERKING 33CL
Julmust 12-pack,44 90 /st +pant ,APOTEKARNES 12P/33CL
Läsk 6-pack,24 90 /st +pant ,PEPSI 33CL
"Chips, jordnötsringar",2 FÖR 40 00 ,ESTRELLA 160G-275G
Kina snacks,2 FÖR 45 00 ,FAZER 155-180G
Toffifee,18 90 /st ,TOFFIFEE 125G
Veckans bukett,59 90 /st ,BLOMMOR STYCK
Gravbukett,79 90 /st ,BLOMMOR STYCK
