Personliga:,,
Snacktomater,"50 %
rabatt",Marocko/Nederländerna/Coop. Klass 1. 350 g.
Pizza,"50 %
rabatt",Coop. Fryst. 340-370 g. Välj mellan olika sorter.
Kryddmix,"Vid köp av 2
50 %
rabatt",Santa Maria. 8-65 g. Välj mellan olika sorter.
Ekologiskt bregott,"50 %
rabatt",Bregott. Kravmärkt. 300 g.
,,
Fläskytterfilé Ca 1 kg.,64 90 /kg, Sverige/Nybergs Deli. Färsk. I bit. Jfr-pris 64:90/kg Max 2 köp/hushåll Handla andra varor för 200:- så får du köpa:
"Glass/sorbet 0,5 liter.",2 för 30:-," Triumf Glass. Välj mellan gräddglass, laktosfri glass och sorbet. Jfr-pris 30:00/lit"
Smör 500 g.,39 90 /st, Coop. 82% fetthalt. Jfr-pris 79:80/kg Max 2 köp/hushåll
Päron Conference i korg 1 kg.,19 90 /st, Nederländerna/Xtra. Klass 2. Jfr-pris 19:90/kg
Granola 350-450 g.,44 90 /st, Pauluns. Välj mellan olika sorter. Jfr-pris 99:78/kg
Lövbiff Ca 800-1000 g.,149:-, Sverige. Av fransyska. I skivor. Färsk. Jfr-pris 149:00/kg
Läsk 6-pack 6x33 cl.,29 90 /förp, Coca-Cola/Fanta/Sprite. Jfr-pris 15:10/lit Pant tillkommer.
Frukostbröd 8-pack 560 g.,20:-, Coop. Välj mellan olika sorter. Jfr-pris 35:71/kg
Smörgåspålägg 80-120 g,26 90 /st, Jakobsdals. Välj mellan olika sorter. Jfr-pris 224:17/kg
Soppa 500 ml.,22 90 /st, Kelda. Kyld. Välj mellan olika sorter. Gäller även ekologisk. Jfr-pris 45:80/lit
Sandwich 130-140 g.,29 90 /st, Italsandwich. Kyld. Välj mellan olika sorter. Jfr-pris 213:57/kg
Gurka Ca 280 g.,12 90 /st, Spanien. Klass 1. Jfr-pris 46:07/kg
Kaffebönor 500 g.,79:-, Lavazza. Välj mellan Qualita Oro eller Tierra Planet. Jfr-pris 158:00/kg
Tvätt/sköljmedel 700 g/880-928 ml.,2 för 69:-," A+/Noora. Välj mellan flytande 880-920 ml, pulver 700 g och sköljmedel 928 ml. Jfr-pris 1:57/tvätt/disk"
Russin 500 g.,46 90 /st, Sun Maid. Jfr-pris 93:80/kg
Ekologisk Kokosmjölk 330 ml.,2 för 35:-, Änglamark. Jfr-pris 53:03/lit
Matpajer 210-220 g.,2 för 65:-, Felix. Frysta. Välj mellan olika sorters originalpaj och veggie. Gäller ej Västerbottensostpaj. Jfr-pris 147:73/kg
Tårta 400 g.,54 90 /st, Almondy. Fryst. Välj mellan olika sorter. Jfr-pris 137:25/kg
Stekpanna,299:-, Tefal. 28 cm. Non-stick beläggning med thermo spot. Ord. pris 399 /st
Tårta 400-500 g.,54 90 /st, Frödinge. Fryst. Välj mellan olika sorter. Jfr-pris 114:38/kg
Mugg Fars dag 1 st.,29 90 /st, I porslin. Välj mellan olika fars dagsmotiv. Ord. pris 39:95 /st
